Time Stamp (ms),qw,qx,qy,qz
18211,0.700439,0.206726,0.0405884,-0.681885
18250,0.632385,0.180847,0.0509033,-0.751526
18293,0.65564,0.143738,0.0166016,-0.741089
18331,0.645386,0.152527,0.0410767,-0.747375
18373,0.609741,0.160461,0.050415,-0.774536
18413,0.579529,0.123413,0.0621338,-0.803162
18454,0.581848,0.0948486,0.0762939,-0.804138
18494,0.569153,0.0991211,0.0782471,-0.812439
18536,0.574036,0.133423,0.121643,-0.798706
18576,0.572815,0.124329,0.129272,-0.799805
18616,0.539429,0.111816,0.0947266,-0.829224
18658,0.465698,0.0562744,0.105957,-0.87677
18696,0.444275,-0.00823975,0.1026,-0.889954
18739,0.454773,-0.0020752,0.119568,-0.882568
18779,0.489624,-0.0895386,0.121826,-0.858704
18820,0.426392,-0.0750122,0.132446,-0.891602
18860,0.329468,0.00457764,0.159302,-0.930603
18899,0.261169,0.0700684,0.114441,-0.955933
18941,0.259399,0.128052,0.114197,-0.950378
18981,0.244446,0.157837,0.114502,-0.94989
19023,0.278809,0.11145,0.109192,-0.947571
19063,0.301025,0.0427246,0.117981,-0.945313
19102,0.324463,0.0461426,0.123047,-0.936707
19143,0.294067,-0.00317383,0.079834,-0.952454
19186,0.28479,-0.171143,0.078064,-0.939941
19227,0.27417,-0.290466,0.0646973,-0.91449
19267,0.254395,-0.264771,0.0595093,-0.928223
19307,0.263245,-0.248718,0.0669556,-0.929688
19347,0.273132,-0.306213,0.0686646,-0.909363
19389,0.277832,-0.308228,0.0789795,-0.906372
19428,0.319702,-0.212036,0.0804443,-0.919983
19469,0.319153,-0.192871,0.103271,-0.922119
19509,0.295593,-0.276611,0.115845,-0.907043
19549,0.303284,-0.267639,0.140625,-0.903687
19592,0.280396,-0.189453,0.140991,-0.930359
19629,0.283386,-0.298096,0.14917,-0.899231
19673,0.291016,-0.335571,0.187866,-0.876038
19712,0.298462,-0.283997,0.171753,-0.894836
19755,0.308167,-0.351074,0.161621,-0.869263
19793,0.314697,-0.326172,0.180481,-0.872925
19834,0.240051,-0.310059,0.171082,-0.90387
19875,0.255188,-0.293457,0.174622,-0.904602
19915,0.263123,-0.30603,0.158386,-0.901123
19958,0.244019,-0.357178,0.15802,-0.887634
19996,0.214722,-0.360229,0.16687,-0.892334
20038,0.152222,-0.359192,0.131104,-0.911377
20077,0.0782471,-0.298889,0.0232544,-0.950806
20118,0.0930176,-0.348877,0.0209351,-0.932312
20158,0.108643,-0.465454,0.0615234,-0.876221
20199,0.0908813,-0.504333,0.0707397,-0.855835
20240,0.113281,-0.502686,0.0680542,-0.854309
20280,0.125793,-0.575867,0.112,-0.799988
